Country,Basic,Currency,,Price USD,# of TV Shows,# of Movies,Total Library Size,Price per Title,,% Difference (Cost per Month) to Average,% Difference (Cost Per Month) to Most Expensive,% Difference (Cost Per Month) to Cheapest,% Difference (Cost per Title) to Average,% Difference (Cost per Title)  to Most Expensive,% Difference (Cost per Title)  to Cheapest
Bulgaria,7.99,EUR,USD,9.03,4819,1978,6797,0.00133,,-7.40,35.21,-128.22,22.43,104.37,-102.93
Ireland,7.99,EUR,USD,9.03,4515,1971,6486,0.00139,,-7.40,35.21,-128.22,17.80,100.92,-106.33
Malaysia,35,MYR,USD,8.29,3565,2387,5952,0.00139,,1.17,43.44,-123.03,17.77,100.90,-106.35
Poland,29,PLN,USD,7.13,3512,1597,5109,0.00140,,16.08,57.43,-113.32,17.45,100.66,-106.58
Lithuania,7.99,EUR,USD,9.03,4490,1972,6462,0.00140,,-7.40,35.21,-128.22,17.43,100.65,-106.60
Estonia,7.99,EUR,USD,9.03,4486,1970,6456,0.00140,,-7.40,35.21,-128.22,17.34,100.58,-106.67
Latvia,7.99,EUR,USD,9.03,4479,1971,6450,0.00140,,-7.40,35.21,-128.22,17.24,100.51,-106.73
Iceland,7.99,EUR,USD,9.03,4426,1961,6387,0.00141,,-7.40,35.21,-128.22,16.27,99.77,-107.43
Chile,5940,CLP,USD,7.07,3156,1838,4994,0.00142,,16.95,58.23,-112.72,16.06,99.61,-107.58
Russia,599,RUB,USD,8.13,3624,2087,5711,0.00142,,3.08,45.26,-121.84,15.56,99.24,-107.94
New Zealand,12.99,NZD,USD,8.80,4003,2081,6084,0.00145,,-4.90,37.62,-126.74,13.92,97.99,-109.10
Gibraltar,7.99,EUR,USD,9.03,4079,2088,6167,0.00146,,-7.40,35.21,-128.22,12.78,97.12,-109.90
Singapore,12.98,SGD,USD,9.51,4109,2194,6303,0.00151,,-12.64,30.09,-131.26,9.72,94.75,-112.03
South Korea,9500,KRW,USD,8.07,3334,1861,5195,0.00155,,3.76,45.90,-121.41,6.81,92.47,-114.02
Monaco,7.99,EUR,USD,9.03,3806,1998,5804,0.00156,,-7.40,35.21,-128.22,6.73,92.41,-114.07
Germany,7.99,EUR,USD,9.03,3814,1854,5668,0.00159,,-7.40,35.21,-128.22,4.36,90.54,-115.66
Japan,990,JPY,USD,8.73,3619,1856,5475,0.00159,,-4.02,38.48,-126.21,4.28,90.47,-115.71
Austria,7.99,EUR,USD,9.03,3779,1861,5640,0.00160,,-7.40,35.21,-128.22,3.87,90.14,-115.98
Ecuador,7.99,USD,USD,7.99,3155,1837,4992,0.00160,,4.79,46.88,-120.76,3.86,90.13,-115.99
Bolivia,7.99,USD,USD,7.99,3155,1836,4991,0.00160,,4.79,46.88,-120.76,3.84,90.12,-116.01
Honduras,7.99,USD,USD,7.99,3154,1835,4989,0.00160,,4.79,46.88,-120.76,3.80,90.08,-116.03
Venezuela,7.99,USD,USD,7.99,3154,1643,4797,0.00167,,4.79,46.88,-120.76,-0.13,86.93,-118.61
Guatemala,7.99,USD,USD,7.99,3154,1613,4767,0.00168,,4.79,46.88,-120.76,-0.76,86.42,-119.01
Netherlands,7.99,EUR,USD,9.03,3779,1597,5376,0.00168,,-7.40,35.21,-128.22,-0.93,86.28,-119.12
Thailand,279,THB,USD,8.34,2977,1971,4948,0.00168,,0.55,42.85,-123.42,-1.28,86.00,-119.35
Romania,7.99,EUR,USD,9.03,3832,1471,5303,0.00170,,-7.40,35.21,-128.22,-2.29,85.17,-120.00
Hong Kong,63,HKD,USD,8.08,2883,1863,4746,0.00170,,3.69,45.84,-121.45,-2.30,85.16,-120.00
United States,9.99,USD,USD,9.99,3826,1992,5818,0.00172,,-17.50,25.30,-134.00,-3.17,84.44,-120.56
Spain,7.99,EUR,USD,9.03,3536,1693,5229,0.00173,,-7.40,35.21,-128.22,-3.70,84.01,-120.90
Paraguay,8.29,USD,USD,8.29,3155,1642,4797,0.00173,,1.11,43.39,-123.07,-3.81,83.92,-120.97
Italy,7.99,EUR,USD,9.03,3545,1638,5183,0.00174,,-7.40,35.21,-128.22,-4.58,83.28,-121.46
Portugal,7.99,EUR,USD,9.03,3419,1628,5047,0.00179,,-7.40,35.21,-128.22,-7.24,81.07,-123.12
Uruguay,8.99,USD,USD,8.99,3154,1835,4989,0.00180,,-7.00,35.60,-127.98,-7.99,80.44,-123.59
Costa Rica,8.99,USD,USD,8.99,3152,1836,4988,0.00180,,-7.00,35.60,-127.98,-8.01,80.42,-123.60
Israel,32.9,ILS,USD,10.56,3650,2063,5713,0.00185,,-22.96,19.85,-136.99,-10.50,78.32,-125.13
France,8.99,EUR,USD,10.16,3604,1841,5445,0.00187,,-19.13,23.68,-134.90,-11.43,77.53,-125.70
Greece,7.99,EUR,USD,9.03,3344,1428,4772,0.00189,,-7.40,35.21,-128.22,-12.83,76.34,-126.54
Taiwan,270,TWD,USD,9.74,3134,1971,5105,0.00191,,-14.98,27.79,-132.59,-13.69,75.60,-127.06
Belgium,8.99,EUR,USD,10.16,3374,1616,4990,0.00204,,-19.13,23.68,-134.90,-20.10,69.99,-130.83
Indonesia,120000,IDR,USD,8.36,2449,1438,3887,0.00215,,0.27,42.59,-123.59,-25.55,65.11,-133.93
Norway,89,NOK,USD,9.94,2955,1573,4528,0.00219,,-16.96,25.84,-133.70,-27.51,63.31,-135.03
Finland,7.99,EUR,USD,9.03,2638,1407,4045,0.00223,,-7.40,35.21,-128.22,-29.16,61.79,-135.94
Moldova,7.99,EUR,USD,9.03,2473,1464,3937,0.00229,,-7.40,35.21,-128.22,-31.81,59.33,-137.38
Switzerland,11.9,CHF,USD,12.88,3654,1852,5506,0.00234,,-42.33,0.00,-146.85,-33.79,57.47,-138.45
Sweden,99,SEK,USD,10.90,2973,1388,4361,0.00250,,-26.07,16.72,-138.65,-40.12,51.40,-141.79
Denmark,79,DKK,USD,12.00,2978,1580,4558,0.00263,,-35.51,7.09,-143.50,-45.13,46.46,-144.35
San Marino,7.99,EUR,USD,9.03,1937,373,2310,0.00391,,-7.40,35.21,-128.22,-80.56,7.85,-160.72
Croatia,7.99,EUR,USD,9.03,1675,599,2274,0.00397,,-7.40,35.21,-128.22,-81.87,6.28,-161.27
Liechtenstein,11.9,CHF,USD,12.88,1712,1336,3048,0.00423,,-42.33,0.00,-146.85,-87.03,0.00,-163.41
